json,主導企業名稱,計劃名稱,企業網址,計畫起訖時間,計畫總經費,計畫補助款,計畫自籌款,link
outputs/1061.json,翔威科技股份有限公司,銀髮族尋根與傳承智慧型服務與營運先期規劃,http://www.hynt.com/,"97年3月1日 至 97年8月31日","3,000 仟元","1,000 仟元","2,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1061
outputs/1065.json,資通電腦股份有限公司,電子電機產業EuP整合服務平台建置計畫,,"96年11月1日 至 98年10月31日","51,800 仟元","21,700 仟元","30,100 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1065
outputs/1066.json,融易網路股份有限公司,"資訊產業RoHS SCM產品化擴散計畫",,"96年11月1日 至 98年10月31日","13,900 仟元","5,100 仟元","8,800 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1066
outputs/1071.json,太極影音科技股份有限公司,廣播級影音產業數位化及電子化運籌服務示範應用計畫（規劃案）,,"93年3月1日 至 93年5月31日","4,889 仟元","1,500 仟元","3,389 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1071
outputs/1072.json,網際優勢股份有限公司,鋼鐵跨產業共通金流服務平台計畫（規劃案）,,"93年7月1日 至 93年12月31日","5,000 仟元","2,280 仟元","2,720 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1072
outputs/1074.json,關貿網路股份有限公司,運籌服務計畫,,"91年7月1日 至 92年6月30日","114,675 仟元","36,000 仟元","78,675 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1074
outputs/1075.json,華通電腦股份有限公司,協同工程與金流電子化(規劃案),,"90年12月1日 至 91年3月31日","4,529 仟元","1,600 仟元","2,929 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1075
outputs/1076.json,中環股份有限公司,中環全球運籌深化計畫,,"93年10月1日 至 94年1月31日","4,986 仟元","1,700 仟元","3,286 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1076
outputs/1077.json,高雄醫學大學附設中和紀念醫院,高醫社區健康照顧網資訊系統計畫,http://www.kmu.edu.tw,"94年4月1日 至 94年10月31日","6,990 仟元","3,000 仟元","3,990 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1077
outputs/1078.json,鉅仁科技股份有限公司,福氣計畫－數位化遠距整合性呼吸照護(IDS)服務,,"96年11月1日 至 98年10月31日","37,150 仟元","13,000 仟元","24,150 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1078
outputs/1083.json,育冠企業股份有限公司,生活工場InterLiving國際協同作業計畫,,"93年4月1日 至 94年12月31日","50,757 仟元","15,000 仟元","35,757 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1083
outputs/1095.json,巨研科技股份有限公司,整合性綠色供應鏈協同管理資訊系統建置,http://www.getech.com.tw,"97年3月1日 至 99年2月28日","18,080 仟元","6,700 仟元","11,380 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1095
outputs/1155.json,行政院衛生署屏東醫院,屏東地區銀髮照護創新服務計畫,,"97年4月1日 至 97年9月30日","3,400 仟元","1,200 仟元","2,200 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1155
outputs/1157.json,天氣風險管理開發股份有限公司,"Weather2.0 - 我的氣象台",http://www.tenki.tw,"97年4月1日 至 97年9月30日","4,000 仟元","1,800 仟元","2,200 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1157
outputs/1161.json,聖洋科技股份有限公司,"funP.com 社群網路應用服務平台先期建置營運計畫",http://funp.com/,"97年4月1日 至 97年9月30日","4,900 仟元","2,200 仟元","2,700 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1161
outputs/1163.json,渥奇數位資訊有限公司,地理定位(geo-tagging)影像與社群網站平台整合計劃,http://www.atlaspost.com,"97年4月1日 至 97年9月30日","5,650 仟元","2,550 仟元","3,100 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1163
outputs/1165.json,逸奇科技股份有限公司,玩美主義影音社群網站及其交叉行銷系統,http://www.ancad.com/,"97年4月1日 至 97年9月30日","3,100 仟元","1,400 仟元","1,700 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1165
outputs/1167.json,超能量資訊股份有限公司,台日觀光情報案內人分享社群平台研發計劃,"http://www.jp21.com.tw,www.hi-power.com.tw,www.mobitaiwan.net","97年4月1日 至 97年9月30日","3,100 仟元","1,400 仟元","1,700 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1167
outputs/1169.json,網路家庭國際資訊股份有限公司,PChome商店街微型商務計畫,http://www.pchome.com.tw/,"97年4月1日 至 97年9月30日","7,800 仟元","3,500 仟元","4,300 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1169
outputs/1172.json,台中榮民總醫院,慢性病居家安心主動照護服務開發建置計畫,,"97年1月1日 至 98年12月31日","34,000 仟元","10,200 仟元","23,800 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1172
outputs/1174.json,哈佛健康事業股份有限公司,體適能整合管理模式導入健康照護之運用,http://www.hvc.com.tw,"97年4月1日 至 97年9月30日","4,000 仟元","1,500 仟元","2,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1174
outputs/1176.json,美德向邦股份有限公司,居家照護衛教指引與耗材撥補服務平台計畫,http://www.medtecs.com.tw/,"97年3月1日 至 97年8月31日","3,000 仟元","1,350 仟元","1,650 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1176
outputs/1178.json,台北市萬芳醫院－委託財團法人私立台北醫學大學辦理,銀髮族復健輔助互動遊戲規劃先期計畫,http://www.wanfang.gov.tw/,"97年3月1日 至 97年7月31日","4,950 仟元","2,000 仟元","2,950 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1178
outputs/1180.json,哈瑪星科技股份有限公司,失智族群記憶重建管理暨照護營運體系先期規劃,http://www.hamastar.com.tw/,"97年3月1日 至 97年8月31日","2,900 仟元","1,200 仟元","1,700 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1180
outputs/1182.json,網遠科技股份有限公司,健康服務中心規劃案,http://www.farnet.com.tw,"97年3月1日 至 97年8月31日","4,500 仟元","1,200 仟元","3,300 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1182
outputs/1184.json,財團法人天主教聖馬爾定醫院,整合慢性病健康管理服務先期規劃,http:/www.stm.org.tw/,"97年3月1日 至 97年8月31日","2,250 仟元","1,000 仟元","1,250 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1184
outputs/1186.json,財團法人嘉義基督教醫院,慢性病患遠距居家飲食控制計畫,http://www.cych.org.tw/cych/,"97年3月1日 至 97年8月31日","3,000 仟元","1,200 仟元","1,800 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=1186
